(score(0.00))
(score(0.00))
 PA7->A5 |(score(inf))
 PB7->B6 |(score(inf))
 PB7->B5 |(score(inf))
 PC7->C6 |(score(inf))
 PC7->C5 |(score(inf))
 PD7->D6 |(score(inf))
 PD7->D5 |(score(inf))
 PE7->E6 |(score(inf))
 PE7->E5 |(score(inf))
 PF7->F6 |(score(inf))
 PF7->F5 |(score(inf))
 PG7->G6 |(score(inf))
 PG7->G5 |(score(inf))
 PH7->H6 |(score(inf))
 PH7->H5 |(score(inf))
 NB8->A6 |(score(inf))
 NB8->C6 |(score(inf))
 NG8->F6 |(score(inf))
 NG8->H6 |(score(inf))
 PA7->A5 |(score(2.99))
 PB7->B6 |(score(3.02))
 PB7->B5 |(score(3.04))
 PC7->C6 |(score(3.07))
 PD7->D6 |(score(3.09))
 PD7->D5 |(score(3.11))
 PE2->E3 | PB7->B6 |(score(inf))
 PE2->E3 | PB7->B5 |(score(inf))
 PE2->E3 | PC7->C6 |(score(inf))
 PE2->E3 | PD7->D6 |(score(inf))
 PE2->E3 | PE7->E6 |(score(inf))
 PE2->E3 | PE7->E5 |(score(inf))
 PE2->E3 | PF7->F5 |(score(inf))
 PE2->E3 | PG7->G6 |(score(inf))
 PE2->E3 | PG7->G5 |(score(inf))
 PE2->E3 | PH7->H6 |(score(inf))
 PE2->E3 | PH7->H5 |(score(inf))
 PE2->E3 | NB8->A6 |(score(inf))
 PE2->E3 | NB8->C6 |(score(inf))
 PE2->E3 | NG8->F6 |(score(inf))
 PE2->E3 | NG8->H6 |(score(inf))
 PE2->E4 | PF7->F6 |(score(inf))
 PD2->D4 | PD7->D5 |(score(inf))
 PE2->E3 | PA7->A6 |(score(inf))
 PE2->E3 | PC7->C5 |(score(inf))
 PE2->E4 | PA7->A5 |(score(inf))
 PE2->E4 | PB7->B6 |(score(inf))
 PE2->E4 | PB7->B5 |(score(inf))
 PE2->E4 | PC7->C6 |(score(inf))
 PE2->E4 | PC7->C5 |(score(inf))
 PE2->E4 | PD7->D6 |(score(inf))
 PE2->E4 | PE7->E6 |(score(inf))
 PE2->E4 | PE7->E5 |(score(inf))
 PE2->E4 | PF7->F5 |(score(inf))
 PE2->E4 | PG7->G6 |(score(inf))
 PE2->E4 | PG7->G5 |(score(inf))
 PE2->E4 | PH7->H6 |(score(inf))
 PE2->E4 | PH7->H5 |(score(inf))
 PE2->E4 | NB8->A6 |(score(inf))
 PE2->E4 | NB8->C6 |(score(inf))
 PE2->E4 | NG8->F6 |(score(inf))
 PE2->E4 | NG8->H6 |(score(inf))
 PC2->C3 | PD7->D5 |(score(inf))
 PD2->D3 | PF7->F6 |(score(inf))
 PD2->D3 | NG8->F6 |(score(inf))
 PE2->E4 | PA7->A6 |(score(inf))
 PD2->D3 | PA7->A5 |(score(inf))
 PD2->D3 | PB7->B6 |(score(inf))
 PD2->D3 | PB7->B5 |(score(inf))
 PD2->D3 | PC7->C6 |(score(inf))
 PD2->D3 | PC7->C5 |(score(inf))
 PD2->D3 | PD7->D6 |(score(inf))
 PD2->D3 | PE7->E6 |(score(inf))
 PD2->D3 | PE7->E5 |(score(inf))
 PD2->D3 | PF7->F5 |(score(inf))
